Distance Z-score,Earned Score,Maximum Score,Overall Percent,Z-score of 100% Submissions
-0.40267233908892236,95,105,0.9047619047619048,0.20730431722980147
-0.026357080408877853,14,14,1.0,-0.022893556524366976
-0.06217876623296708,73,94,0.776595744680851,-0.3919513223985816
-0.3582134694268279,29,32,0.90625,-0.4868349452322247
0.8891867290408217,20,34,0.5882352941176471,0.7803140991629188
1.020275082014334,15,45,0.3333333333333333,0.5404296212781878
-0.026357080408877853,13,14,0.9285714285714286,0.1067926882453234
-0.026357080408877853,14,14,1.0,-0.022893556524366976
-0.026357080408877853,13,14,0.9285714285714286,0.1067926882453234
-0.2916944421547662,64,89,0.7191011235955056,-0.6759848539502055
-0.32736703638547676,120,140,0.8571428571428571,-0.48436953302430724
-0.02240420063249843,64,116,0.5517241379310345,-0.07941998000503998
-0.39389256121574695,101,105,0.9619047619047619,0.0600589347733183
0.2863406058764207,81,120,0.675,0.08467750268942728
0.19013172431702272,70,123,0.5691056910569106,-0.7272770361963903
-0.3659303035063013,103,105,0.9809523809523809,-0.21850302389168322
-0.026357080408877853,14,14,1.0,-0.022893556524366976
-0.4294702367216866,95,105,0.9047619047619048,-0.333040101399587
-0.07948441763258277,90,125,0.72,-0.14626181559168538
-0.026357080408877853,9,14,0.6428571428571429,-0.0769454542443037
-0.168708075210543,81,95,0.8526315789473684,0.24722878173219412
-0.030514234328131835,69,99,0.696969696969697,0.3856524861243337
-0.026357080408877853,14,14,1.0,-0.022893556524366976
-0.060475672501828205,72,82,0.8780487804878049,-0.02913273805883231
-0.026357080408877853,13,14,0.9285714285714286,0.0041323923356013925
0.13308002497858867,110,140,0.7857142857142857,0.23089331513889322
-0.5087779585551783,80,99,0.8080808080808081,-0.5033284869914574
-0.2300701661039058,100,105,0.9523809523809523,-0.2134664969309843
-0.264207334376793,77,133,0.5789473684210527,-0.049343966902076014
