Student ID,Distance Z-score,Earned Score,Maximum Score,Overall Percent
s7c97e351,0.39093113811369523,35,91,0.38461538461538464
s7ccd28a3,0.3356491558248158,87,94,0.925531914893617
s7dfc8641,-0.2094764475508565,120,135,0.8888888888888888
s7e9d214e,-0.44320815740337366,11,11,1.0
s7fe50145,-0.25951067195306105,64,94,0.6808510638297872
s80387faa,-0.026357080408877853,14,14,1.0
s8082eabf,-0.026357080408877853,11,14,0.7857142857142857
s81792444,-0.5234335338000212,99,100,0.99
s830be0cb,-0.056655437737722095,71,93,0.7634408602150538
s8d81cf8b,0.042230939179093485,139,140,0.9928571428571429
s9019cc55,-0.026357080408877853,14,14,1.0
s92c309ce,0.32839715908881895,30,89,0.33707865168539325
s96a3b108,0.21670288392256187,34,65,0.5230769230769231
s9848f569,0.4348284837957889,18,45,0.4
s985b5480,0.06198092460062101,111,128,0.8671875
s9bd61dd,0.20841836991826418,124,135,0.9185185185185185
s9c2e126f,-0.40596627877561514,85,121,0.7024793388429752
s9c94a8aa,-0.12062546594395913,44,62,0.7096774193548387
s9d049cf5,-0.553793172345773,74,90,0.8222222222222222
s9f4e531e,-0.026357080408877853,10,14,0.7142857142857143
s9fb8e2c9,-0.14534705752990285,109,140,0.7785714285714286
sa1918ccc,-0.1981490494562196,79,135,0.5851851851851851
sa2374186,-0.10104292086060908,69,83,0.8313253012048193
sa57ba5b5,-0.21080271341199153,23,37,0.6216216216216216
sa64f4a9e,1.4688326684229,8,46,0.17391304347826086
sa6af7077,0.1478799072044998,31,47,0.6595744680851063
sa8337da7,0.6162953588413339,51,87,0.5862068965517241
sabe62f19,-0.08713483312939659,68,96,0.7083333333333334
sac345013,-0.06935468614217412,51,103,0.49514563106796117
sad8416a9,-0.35502668343530636,74,93,0.7956989247311828
sae45b238,-0.20428403802474993,72,88,0.8181818181818182
saffd1abc,0.27159504520283007,34,57,0.5964912280701754
sb069dfe6,0.11826531652811965,65,95,0.6842105263157895
sb254b04f,-0.026357080408877853,9,14,0.6428571428571429
sb5140be1,-0.04978750467861618,15,33,0.45454545454545453
